Page Number,Question Text,Chapter
1,"1. Pascal, BASIC, and C are p.",The Big Picture
1,2. A widget is to the blueprint for a widget as an object is to,The Big Picture
1,3. The two major components of an object are,The Big Picture
1,"4. In C++, a function contained within a class is called",The Big Picture
2,5. Protecting data from access by unauthorized functions is called.,The Big Picture
2,6. Which of the following are good reasons to use an object-oriented language?,The Big Picture
2,8. True or false: A C++ program is similar to a C program except for the details of.,The Big Picture
2,9. Bundling data and functions together is called,The Big Picture
2,"10. When a language has the capability to produce new data types, it is said to be",The Big Picture
2,"11. True or false: You can easily tell, from any two lines of code, whether a pro-",The Big Picture
2,12. The ability of a function or operator to act in different ways on different data,The Big Picture
2,13. A normal C++ operator that acts in special ways on newly defined data types is,The Big Picture
2,14. Memorizing the new terms used in C++ is,The Big Picture
3,15. The Unified Modeling Language is,The Big Picture
5,1. Dividing a program into functions,C++ Programming Basics
5,2. A function name must be followed by,C++ Programming Basics
5,3. A function body is delimited by.,C++ Programming Basics
5,4. Why is the main() function special?,C++ Programming Basics
5,5. A C++ instruction that tells the computer to do something is called a.,C++ Programming Basics
6,6. Write an example of a normal C++ comment and an example of an old-fashioned /*,C++ Programming Basics
6,7. An expression,C++ Programming Basics
6,8. Specify how many bytes are occupied by the following data types in a 32-bit system:,C++ Programming Basics
6,9. True or false: A variable of type char can hold the value 301.,C++ Programming Basics
6,10. What kind of program elements are the following?,C++ Programming Basics
6,11. Write statements that display on the screen.,C++ Programming Basics
6,"12. True or false: In an assignment statement, the value on the left of the equal sign is always",C++ Programming Basics
6,13. Write a statement that displays the variable george in a field 10 characters wide,C++ Programming Basics
6,14. What header file must you #include with your source file to use cout and cin?,C++ Programming Basics
6,15. Write a statement that gets a numerical value from the keyboard and places it in the vari-.,C++ Programming Basics
6,16. What header file must you #include with your program to use setw?.,C++ Programming Basics
6,17. Two exceptions to the rule that the compiler ignores whitespace are.,C++ Programming Basics
7,18. True or false: It's perfectly all right to use variables of different data types in the same,C++ Programming Basics
7,19. The expression 11%3 evaluates to,C++ Programming Basics
7,20. An arithmetic assignment operator combines the effect of what two operators?,C++ Programming Basics
7,21. Write a statement that uses an arithmetic assignment operator to increase the value of.,C++ Programming Basics
7,22. The increment operator increases the value of a variable by how much?.,C++ Programming Basics
7,"23. Assuming var1 starts with the value 20, what will the following code fragment print out?",C++ Programming Basics
7,"24. In the examples we've seen so far, header files have been used for what purpose?",C++ Programming Basics
7,25. The actual code for library functions is contained in a,C++ Programming Basics
7,4. Write a program that displays your favorite poem. Use an appropriate escape sequence,C++ Programming Basics
8,"5. A library function, islower(), takes a single character (a letter) as an argument and",C++ Programming Basics
8,"6. On a certain day the British pound was equivalent to $1.487 U.S., the French franc was",C++ Programming Basics
8,7. You can convert temperature from degrees Celsius to degrees Fahrenheit by multiplying,C++ Programming Basics
8,"8. When a value is smaller than a field specified with setw(), the unused locations are, by",C++ Programming Basics
8,"9. If you have two fractions, a/b and c/d, their sum can be obtained from the formula",C++ Programming Basics
8,3 + 8,C++ Programming Basics
9,"10. In the heyday of the British empire, Great Britain used a monetary system based on",C++ Programming Basics
9,"11. By default, output is right-justified in its field. You can left-justify text output using the",C++ Programming Basics
9,109 Pine Lane,C++ Programming Basics
9,42 E. 99th Ave.,C++ Programming Basics
9,"12. Write the inverse of Exercise 10, so that the user enters an amount in Great Britain's new",C++ Programming Basics
11,1. A relational operator,Loops and Decisions
11,2. Write an expression that uses a relational operator to return true if the variable george is.,Loops and Decisions
11,3. Is -1 true or false?,Loops and Decisions
11,4. Name and describe the usual purpose of three expressions in a for statement..,Loops and Decisions
11,"5. In a for loop with a multistatement loop body, semicolons should appear following",Loops and Decisions
11,6. True or false: The increment expression in a for loop can decrement the loop variable,Loops and Decisions
11,7. Write a for loop that displays the numbers from 100 to 110,Loops and Decisions
11,8. A block of code is delimited by.,Loops and Decisions
11,9. A variable defined within a block is visible,Loops and Decisions
11,10. Write a whi1e loop that displays the numbers from 100 to 110..,Loops and Decisions
11,11. True or false: Relational operators have a higher precedence than arithmetic operators..,Loops and Decisions
12,12. How many times is the loop body executed in a do loop?.,Loops and Decisions
12,13. Write a do loop that displays the numbers from 100 to 110..,Loops and Decisions
12,14. Write an if statement that prints Yes if a variable age is greater than 21..,Loops and Decisions
12,15. The library function exit() causes an exit from,Loops and Decisions
12,"16. Write an if...e1se statement that displays Yes if a variable age is greater than 21, and",Loops and Decisions
12,17. The getche() library function,Loops and Decisions
12,18. What is the character obtained from cin when the user presses the Enter key?.,Loops and Decisions
12,19. An else always matches the,Loops and Decisions
12,20. The else...if construction is obtained from a nested if...else by,Loops and Decisions
12,"21. Write a switch statement that prints Yes if a variable ch is 'y', prints No if ch is 'n',",Loops and Decisions
12,22. Write a statement that uses a conditional operator to set ticket to 1 if speed is greater,Loops and Decisions
12,23. The && and || operators,Loops and Decisions
12,24. Write an expression involving a logical operator that is true if 1imit is 55 and speed is.,Loops and Decisions
12,"25. Arrange in order of precedence (highest first) the following kinds of operators: logical,",Loops and Decisions
13,26. The break statement causes an exit.,Loops and Decisions
13,27. Executing the continue operator from within a loop causes control to go to,Loops and Decisions
13,28. The goto statement causes control to go to.,Loops and Decisions
13,2 to convert Celsius to Fahrenheit: 1,Loops and Decisions
14,5. Use for loops to construct a program that displays a pyramid of Xs on the screen. The,Loops and Decisions
14,6. Modify the FAcroR program in this chapter so that it repeatedly asks for a number and.,Loops and Decisions
