Exercise Number,Question Text,Chapter_name
Exercise 1.1,Review the documentation for your compiler and determine what file,Getting started
Exercise 1.2,Change the program to return -1. A return value of -1 is often treated.,Getting started
Exercise 1.3,"Write a program to print He11o, Wor1d on the standard output.",Getting started
Exercise 1.4,"Our program used the addition operator, +, to add two numbers. Write",Getting started
Exercise 1.5,We wrote the output in one large statement. Rewrite the program to use,Getting started
Exercise 1.6,Explain whether the following program fragment is legal,Getting started
Exercise 1.7,Compile a program that has incorrectly nested comments.,Getting started
Exercise 1.8,"Indicate which, if any, of the following output statements are legal",Getting started
Exercise 1.9,Write a program that uses a whi1e to sum the numbers from 50 to 100.,Getting started
Exercise 1.10,"In addition to the ++ operator that adds 1 to its operand, there is a.",Getting started
Exercise 1.11,Write a program that prompts the user for two integers. Print each.,Getting started
Exercise 1.12,What does the following for loop do? What is the final value of sum?,Getting started
Exercise 1.13,Rewrite the first two exercises from S 1.4.1 (p. 13) using for loops,Getting started
Exercise 1.14,Compare and contrast the loops that used a for with those using a,Getting started
Exercise 1.15,Write programs that contain the common errors discussed in the box,Getting started
Exercise 1.16,Write your own version of a program that prints the sum of a set of.,Getting started
Exercise 1.17,What happens in the program presented in this section if the input val,Getting started
Exercise 1.18,Compile and run the program from this section giving it only equal,Getting started
Exercise 1.19,Revise the program you wrote for the exercises in $ 1.4.1 (p. 13) that.,Getting started
Exercise 1.21,Write a program that reads two Sales_item objects that have the,Getting started
Exercise 1.22,Write a program that reads several transactions for the same IsBN.,Getting started
Exercise 1.23,Write a program that reads several transactions and counts how many,Getting started
Exercise 1.24,Test the previous program by giving multiple transactions representing.,Getting started
Exercise 1.25,"Using the Sales_item.h header from the Web site, compile and exe-",Getting started
Exercise 2.1,"What are the differences between int, long, long long, and short?",Variable and Basic types
Exercise 2.2,"To calculate a mortgage payment, what types would you use for the rate,",Variable and Basic types
Exercise 2.3,What output will the following code produce?,Variable and Basic types
Exercise 2.4,"Write a program to check whether your predictions were correct. If not,",Variable and Basic types
Exercise 2.5,Determine the type of each of the following literals. Explain the differ-,Variable and Basic types
Exercise 2.6,"What, if any, are the differences between the following definitions:",Variable and Basic types
Exercise 2.7,What values do these literals represent? What type does each have?,Variable and Basic types
Exercise 2.8,"Using escape sequences, write a program to print 2M followed by a new-.",Variable and Basic types
Exercise 2.9,"Explain the following definitions. For those that are illegal, explain",Variable and Basic types
Exercise 2.10,"What are the initial values, if any, of each of the following variables?",Variable and Basic types
Exercise 2.11,Explain whether each of the following is a declaration or a definition:,Variable and Basic types
Exercise 2.12,"Which, if any, of the following names are invalid?",Variable and Basic types
Exercise 2.13,What is the value of j in the following program?,Variable and Basic types
Exercise 2.14,"Is the following program legal? If so, what values are printed?",Variable and Basic types
Exercise 2.15,"Which of the following definitions, if any, are invalid? Why?",Variable and Basic types
Exercise 2.16,"Which, if any, of the following assignments are invalid? If they are",Variable and Basic types
Exercise 2.17,What does the following code print?,Variable and Basic types
Exercise 2.18,Write code to change the value of a pointer. Write code to change the,Variable and Basic types
Exercise 2.19,Explain the key differences between pointers and references.,Variable and Basic types
Exercise 2.20,What does the following program do?,Variable and Basic types
Exercise 2.21,Explain each of the following definitions. Indicate whether any are il-,Variable and Basic types
Exercise 2.22,"Assuming p is a pointer to int, explain the following code:",Variable and Basic types
Exercise 2.23,"Given a pointer p, can you determine whether p points to a valid object?",Variable and Basic types
Exercise 2.24,Why is the initialization of p legal but that of 1p illegal?,Variable and Basic types
Exercise 2.25,Determine the types and values of each of the following variables,Variable and Basic types
Exercise 2.26,"Which of the following are legal? For those that are illegal, explain why.",Variable and Basic types
Exercise 2.27,Which of the following initializations are legal? Explain why,Variable and Basic types
